timestamp,tournament_id,art,filename,status,bytes_saved,error_msg
2026-04-21T08:31:59+00:00,1048010,1,tnr1048010_art1.html,ok,73859,
2026-04-21T08:32:00+00:00,1048010,2,tnr1048010_art2.html,ok,82271,
2026-04-21T08:32:01+00:00,1048010,5,tnr1048010_art5.html,ok,102407,
2026-04-21T08:32:03+00:00,1082918,1,tnr1082918_art1.html,ok,65943,
2026-04-21T08:32:04+00:00,1082918,2,tnr1082918_art2.html,ok,79342,
2026-04-21T08:32:06+00:00,1082918,5,tnr1082918_art5.html,ok,106848,
2026-04-21T08:32:07+00:00,1090975,1,tnr1090975_art1.html,ok,25044,
2026-04-21T08:32:09+00:00,1090975,2,tnr1090975_art2.html,ok,50388,
2026-04-21T08:32:10+00:00,1090975,5,tnr1090975_art5.html,ok,27535,
2026-04-21T08:32:12+00:00,1090879,1,tnr1090879_art1.html,ok,35582,
2026-04-21T08:32:13+00:00,1090879,2,tnr1090879_art2.html,ok,67463,
2026-04-21T08:32:15+00:00,1090879,5,tnr1090879_art5.html,ok,37038,
2026-04-21T08:32:16+00:00,1081512,1,tnr1081512_art1.html,ok,58507,
2026-04-21T08:32:18+00:00,1081512,2,tnr1081512_art2.html,ok,64018,
2026-04-21T08:32:20+00:00,1081512,5,tnr1081512_art5.html,ok,92142,
2026-04-21T08:32:21+00:00,1092539,1,tnr1092539_art1.html,ok,34832,
2026-04-21T08:32:22+00:00,1092539,2,tnr1092539_art2.html,ok,65446,
2026-04-21T08:32:24+00:00,1092539,5,tnr1092539_art5.html,ok,45174,
2026-04-21T08:32:25+00:00,1051218,1,tnr1051218_art1.html,ok,25920,
2026-04-21T08:32:27+00:00,1051218,2,tnr1051218_art2.html,ok,66355,
2026-04-21T08:32:28+00:00,1051218,5,tnr1051218_art5.html,ok,36044,
2026-04-21T08:32:30+00:00,1051224,1,tnr1051224_art1.html,ok,33405,
2026-04-21T08:32:31+00:00,1051224,2,tnr1051224_art2.html,ok,65245,
2026-04-21T08:32:33+00:00,1051224,5,tnr1051224_art5.html,ok,48989,
2026-04-21T08:32:34+00:00,972588,1,tnr972588_art1.html,ok,50484,
2026-04-21T08:32:36+00:00,972588,2,tnr972588_art2.html,ok,65308,
2026-04-21T08:32:37+00:00,972588,5,tnr972588_art5.html,ok,61098,
2026-04-21T08:32:39+00:00,1054645,1,tnr1054645_art1.html,ok,28191,
2026-04-21T08:32:40+00:00,1054645,2,tnr1054645_art2.html,ok,67130,
2026-04-21T08:32:42+00:00,1054645,5,tnr1054645_art5.html,ok,33478,
