player_tournament_id,tournament_id,round_number,player_rating,title_encoded,seed_percentile,tournament_avg_rating,tournament_rating_std,n_rounds_total,field_size,rating_gap_to_field_avg,rounds_remaining,current_score,expected_score_so_far,score_delta,avg_opponent_rating_so_far,color_balance,opponent_rating,rating_diff,expected_score_this_game,playing_white,current_rank,gap_to_leader,opponent_current_score,player_result,final_performance_rating,action,action_aggressive,action_solid,action_passive
734,972588,3,2165.0,4,0.9643,1803.3960396039604,191.38469527148305,7,113,361.6039603960396,4,2.0,1.7547,0.2453,1819.5,0,1892.0,273.0,0.828,1,1,0.0,2.0,win,1960.4,solid,0,1,0
734,972588,4,2165.0,4,0.9643,1803.3960396039604,191.38469527148305,7,113,361.6039603960396,3,3.0,2.5827,0.4173,1843.6666666666667,1,2337.0,-172.0,0.2709,0,1,0.0,3.0,draw,1960.4,solid,0,1,0
734,972588,5,2165.0,4,0.9643,1803.3960396039604,191.38469527148305,7,113,361.6039603960396,2,3.5,2.8536,0.6464,1967.0,0,2050.0,115.0,0.6597,1,2,-0.5,3.5,win,1960.4,solid,0,1,0
734,972588,6,2165.0,4,0.9643,1803.3960396039604,191.38469527148305,7,113,361.6039603960396,1,4.5,3.5133,0.9867,1983.6,1,2195.0,-30.0,0.4569,0,1,0.0,4.5,draw,1960.4,solid,0,1,0
735,972588,1,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,6,0.0,0.0,0.0,,0,1724.0,318.0,0.8618,1,1,0.0,0.0,win,2173.1,solid,0,1,0
735,972588,2,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,5,1.0,0.8618,0.1382,1724.0,1,1830.0,212.0,0.7721,0,1,0.0,1.0,win,2173.1,solid,0,1,0
735,972588,3,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,4,2.0,1.634,0.366,1777.0,0,1828.0,214.0,0.7741,1,1,0.0,2.0,win,2173.1,solid,0,1,0
735,972588,4,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,3,3.0,2.4081,0.5919,1794.0,1,2231.0,-189.0,0.252,1,1,0.0,3.0,loss,2173.1,solid,0,1,0
735,972588,5,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,2,3.0,2.6601,0.3399,1903.25,2,2058.0,-16.0,0.477,0,10,-1.0,3.5,draw,2173.1,solid,0,1,0
735,972588,6,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,1,3.5,3.1371,0.3629,1934.2,1,1881.0,161.0,0.7164,0,10,-1.0,3.5,win,2173.1,solid,0,1,0
735,972588,7,2042.0,0,0.8929,1803.3960396039604,191.38469527148305,7,113,238.6039603960396,0,4.5,3.8535,0.6465,1925.3333333333333,0,2050.0,-8.0,0.4885,1,8,-0.5,4.5,win,2173.1,aggressive,1,0,0
736,972588,1,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,6,0.0,0.0,0.0,,0,1761.0,339.0,0.8756,1,1,0.0,0.0,draw,2136.7,passive,0,0,1
736,972588,2,2100.0,3,0.9464,1803.3960396039604,191.38469527148305,7,113,296.6039603960396,5,0.5,0.8756,-0.3756,1761.0,1,1850.0,250.0,0.8083,0,52,-0.5,0.5,win,2136.7,solid,0,1,0
